VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
269,207,Manbir Chauhan,25,1,1
270,323,Rayaan Chandran,83,2,0
271,278,Eta Maharaj,76,2,1
272,447,Neel Warrior,53,2,0
273,359,Yashica Wali,7,2,0
274,252,Anya Seth,76,1,0
275,236,Ekiya Barad,16,1,0
276,296,Samaksh Gupta,33,2,0
277,976,Yasti Ratti,84,1,1
278,669,Baljiwan Boase,51,1,0
279,710,Charvi Modi,74,1,1
280,580,Ayush Gill,22,1,1
281,745,Meera Zacharia,42,1,0
282,286,Sai Gera,67,1,1
283,78,Yash Bajwa,14,2,1
284,682,Pooja Merchant,7,2,0
285,956,Varsha Bedi,62,1,0
286,117,Dayamai Baral,51,2,1
287,177,Falan Agarwal,80,2,1
288,629,Frado Vaidya,85,1,0
289,837,Urishilla Acharya,79,1,0
290,386,Vrishti Khanna,10,1,0
291,619,Rudra Som,50,2,1
292,132,Urishilla Talwar,27,2,1
293,891,Ekta Rege,24,1,0
294,834,Vinaya Dube,56,2,1
295,699,Ayushman Walla,15,2,1
296,570,Xiti Palla,81,2,0
297,954,Vamakshi Mishra,42,2,1
298,402,Praneel Balan,7,1,0
299,614,Dominic Ahluwalia,67,2,0
300,546,Vihaan Walia,45,2,0
301,233,Yoshita Pillai,59,1,0
302,682,Robert Mani,36,1,0
303,326,Yachana Rattan,13,2,0
304,869,Manya Choudhary,79,2,1
305,165,Om Rana,74,2,0
306,58,Bhavna Som,53,2,1
307,891,Harinakshi Balay,68,1,1
308,34,Azaan Choudhury,68,1,0
309,144,Mohammed Gopal,46,2,0
310,78,Rushil Pillay,63,1,0
311,275,Daksh Soman,29,2,1
312,158,Manbir Dayal,31,2,1
313,760,Jason Maharaj,89,2,1
314,354,Mason Kurian,6,2,0
315,216,Onkar Peri,57,1,0
316,69,Kai Mani,25,1,1
317,753,Orinder Grover,9,2,0
318,444,Rayaan Hora,50,2,1
319,184,Megha Jani,89,1,1
320,593,Timothy Tailor,56,2,0
321,656,Qadim Malhotra,7,2,0
322,296,Rachita Tella,60,1,0
323,165,Aahana Padmanabhan,27,1,1
324,811,Eiravati Varghese,37,1,0
325,375,Yashvi Apte,20,1,1
326,688,Gauri Basu,68,1,0
327,658,Jagdish Ahuja,13,1,0
328,230,Wyatt Radhakrishnan,61,2,1
329,505,Tanmayi Wason,21,1,1
330,644,Max Narula,80,2,1
331,64,Aarini Barad,16,2,0
332,16,Aditya Master,81,2,1
333,133,Amrita Sidhu,87,2,0
334,149,Chavvi Keer,39,2,1
335,981,Priya Lanka,67,2,0
336,933,Chakradhar Patla,78,2,0
337,934,Kevin Narain,15,2,1
338,282,Ishanvi Dutta,21,2,1
339,308,Xiti Jayaraman,13,2,0
340,368,Ranbir Dalal,47,2,1
341,464,Ishanvi Kade,57,1,1
342,963,Zinal Sura,84,2,0
343,748,Tristan Dugar,74,2,1
344,418,Udyati Kata,27,1,0
345,598,Neelima Hari,77,2,1
346,749,Geetika Rajan,31,1,0
347,319,Vincent Buch,90,1,0
348,556,Fariq Mittal,59,2,1
349,578,Brijesh Anand,9,2,1
350,380,Umang Gara,80,2,0
351,700,Thomas Ravel,33,1,1
352,702,Chakradhar Subramanian,51,1,1
353,298,Pranit Date,65,2,0
354,248,Vamakshi Bhandari,37,1,1
355,139,Umang Reddy,16,1,0
356,258,Sanya Khalsa,89,1,1
357,423,Qabil Chowdhury,83,1,0
358,90,Hredhaan Mutti,73,2,0
359,629,Vyanjana Bath,80,2,0
360,599,Barkha Varkey,12,1,0
361,75,Darika Varghese,73,2,0
362,281,Kiaan Prabhakar,23,2,1
363,710,Vasana Bhandari,55,1,1
364,388,Vamakshi Badami,65,2,1
365,704,Yashvi Karnik,47,1,0
366,680,Aashi Bhatti,28,2,0
367,17,Qabil Chada,75,2,0
368,668,Arjun Talwar,31,2,0
369,156,Jai Sarma,24,1,1
370,782,Patrick Deshmukh,72,1,1
371,951,Jacob Sant,79,1,0
372,92,David Kohli,73,1,1
373,74,Quincy Toor,8,2,0
374,806,Manbir Sangha,56,2,0
375,383,Umang Bhatnagar,67,2,1
376,16,Osha Mody,82,2,1
377,295,Triveni More,26,2,0
378,888,Vedhika Chawla,12,1,0
379,499,Yashodhara Bhagat,30,2,0
380,386,Arjun Sule,53,2,0
381,807,Aahana Parikh,84,2,1
382,154,Ridhi Raghavan,22,1,0
383,550,Yatin Morar,38,1,0
384,636,Rehaan Sekhon,17,2,1
385,97,Ria Wagle,33,1,1
386,454,Manthan Sanghvi,61,1,0
387,510,Sanaya Karnik,55,2,1
388,392,Zarna Mann,7,2,0
389,427,Faraj Tella,83,1,0
390,122,Daksha Char,17,1,1
391,225,Sarthak Prabhakar,39,2,1
392,549,Gavin Nazareth,35,2,0
393,236,Harini Chaudry,53,1,1
394,333,Keya Kota,51,1,1
395,590,Darpan Kari,53,2,1
396,344,Libni Bala,30,1,1
397,75,Hredhaan Chandran,11,1,0
398,972,Ijaya Ramakrishnan,22,1,1
399,943,Manya Natarajan,29,2,1
400,809,Priya Sinha,87,1,1
401,540,Ekalinga Verma,9,1,0
402,81,Urvi Nagy,15,2,1
403,956,Isha Lad,5,1,0
404,688,Urishilla Choudhry,59,1,1
405,757,Anita Khosla,26,1,0
406,515,Jyoti Madan,46,2,0
407,360,Mugdha Nayak,15,2,1
408,194,Yashoda Chawla,47,1,0
409,295,Timothy Bora,59,2,0
410,177,Lipika Sani,44,1,0
411,904,Arjun Bhatia,81,2,1
412,935,Vasatika Dani,32,2,1
413,162,Luke Madan,11,2,1
414,913,Isaiah Kashyap,80,1,1
415,740,Bimala Sawhney,30,2,1
416,956,Lopa Sandal,58,1,1
417,806,Ranveer Hayre,36,2,1
418,645,Sathvik Chokshi,18,2,1
419,955,Neel Subramaniam,74,1,1
420,304,Anirudh Boase,64,1,1
421,703,Aashi Korpal,73,2,1
422,512,Widisha Sastry,45,1,1
423,618,Frederick Bhattacharyya,14,1,0
424,77,Idika Sibal,29,2,0
425,963,Odika Sandal,24,1,0
426,449,Advaith Char,24,2,1
427,744,Sarthak Khalsa,15,2,0
428,706,Irya Murthy,23,2,1
429,358,Manthan Kala,68,2,0
430,740,Kala Mohanty,29,1,1
431,689,Gautam Thakur,64,2,1
432,108,Ayaan Shukla,6,1,1
433,364,Dalbir Nagar,62,1,1
434,703,Rehaan Sarma,52,1,0
435,41,Keya Deshpande,7,1,1
436,721,Isaac Nadkarni,11,2,1
437,814,Urmi Toor,27,1,1
438,247,Omya Sankar,85,1,0
439,521,Vivaan Dhaliwal,77,1,0
440,947,Chavvi Gour,53,2,1
441,34,Jalsa Din,11,2,1
442,826,Arin Kale,63,1,1
443,539,Naveen Ramesh,85,2,0
444,129,Chandresh Kunda,64,1,0
445,569,Pushti Chaudhuri,62,2,1
446,643,Rajata Walla,12,2,1
447,573,Gautam Mangal,15,1,1
448,953,Harini Bhasin,16,2,0
449,796,Ira Wali,81,2,1
450,223,Ekta Sunder,17,1,1
451,428,Hiral Patla,21,1,1
452,533,Wakeeta Soni,90,1,1
453,392,Harini Chadha,50,1,0
454,846,Tanveer Viswanathan,59,1,1
455,611,Joshua Dixit,34,1,1
456,734,Advay Mishra,36,2,1
457,39,Hemal Goda,34,2,1
458,175,Aarnav Bhatti,64,2,1
459,762,Laksh Ramanathan,72,2,0
460,724,Samesh Kapadia,57,1,1
461,868,Sneha Morar,72,2,0
462,766,Radha Mammen,28,1,1
463,133,Udarsh Chahal,12,1,1
464,808,Chameli Hegde,84,1,1
465,84,Matthew Bhatia,44,1,1
466,247,Mahika Vyas,63,2,0
467,23,Tristan Dhawan,87,2,0
468,923,Ishani Nanda,33,1,1
469,685,Abhimanyu Naidu,9,1,0
470,284,Nitesh Dugar,86,2,1
471,741,Fariq Ahuja,66,2,0
472,844,Bhavika Kala,84,2,0
473,849,Charles Virk,54,2,1
474,614,Anita Buch,78,2,0
475,881,Bishakha Suri,32,2,1
476,706,Eiravati Subramaniam,15,2,1
477,290,Tanveer Kata,47,1,1
478,399,Shaurya Chandran,33,2,1
479,570,Xavier Ravi,47,2,1
480,825,Upasna Oak,45,2,0
481,365,Banjeet Sundaram,42,1,1
482,946,Onkar Gulati,15,2,0
483,133,Ansh Ahuja,58,2,1
484,470,Chandresh Sha,48,2,1
485,159,Hema Pillai,68,1,1
486,603,Laban Varty,34,2,1
487,312,Zansi Char,25,2,1
488,908,Girindra Doctor,16,1,1
489,958,Megha Anne,38,2,0
490,523,Aarna Ahluwalia,22,2,1
491,372,Wridesh Zachariah,77,1,0
492,725,Baljiwan Sane,42,2,0
493,520,Yachana Vig,78,1,0
494,872,Urvashi Mann,82,2,1
495,935,Harita Bains,77,1,1
496,737,Guneet Chand,42,2,1
497,624,Chavvi Kale,32,2,0
498,564,Gavin Wadhwa,45,1,0
499,277,Sanaya Keer,62,1,0
500,500,Anita Sachdev,65,2,0
501,581,Gagan Kohli,29,2,1
502,256,Aadhya Gandhi,78,1,0
503,518,Ranveer Hegde,29,1,0
504,60,Fitan Dave,19,2,1
505,736,Hamsini Narang,90,2,1
506,622,Nisha Chada,32,2,0
507,146,Benjamin Gulati,71,2,1
508,876,Hemani Murty,84,1,0
509,291,Tejas Iyengar,69,2,0
510,868,Idika Ramesh,49,1,0
511,289,Oni Doctor,5,1,0
512,71,Gautami Kumar,13,2,0
513,384,Tripti Saran,73,1,1
514,502,Geetika Viswanathan,46,2,1
515,686,Elijah Mammen,53,2,1
516,604,Hitesh Kothari,12,2,0
517,476,Samesh Deshpande,38,2,1
518,202,Harshil Pant,13,1,0
519,382,Jagrati Ben,54,2,0
520,677,Gunbir Johal,7,2,1
521,999,Neha Contractor,88,2,1
522,929,Brinda Chatterjee,55,1,1
523,472,Jagrati Amble,46,2,0
524,238,Krishna Bumb,64,2,1
525,572,Advika Sant,19,1,0
526,336,Manan Barad,21,2,0
527,263,Hitesh Bhardwaj,33,1,1
528,772,Ati Hegde,79,1,1
529,551,Advaith Barad,44,1,1
530,591,Kashish Basu,17,2,1
531,667,Isaiah Soni,16,1,1
532,793,Arjun Dhaliwal,52,1,0
533,810,Fitan Sahota,59,2,0
534,790,Vedika Yogi,21,1,1
535,574,Bhavya Rai,53,2,1
536,885,Dipta Gera,54,2,0
537,792,Lakshit Mukherjee,35,2,0
538,529,Rushil Baria,54,1,0
539,88,Gaurav Aggarwal,44,1,1
540,419,Manya Bajwa,60,1,1
541,488,Yashvi Cherian,73,1,0
542,914,Faraj Wason,25,1,1
543,430,Warinder Purohit,49,1,0
544,343,Radhika Rai,48,1,1
545,926,Aryan Sama,70,1,1
546,250,Jagvi Balakrishnan,14,1,0
547,178,Krishna Grewal,40,1,0
548,90,Urvi Mahajan,20,1,0
549,992,Chaitanya D’Alia,77,1,0
550,84,Maya Wable,82,2,1
551,908,Aishani Bobal,83,1,1
552,829,Baghyawati Mukhopadhyay,83,1,1
553,927,Ekanta Memon,19,1,0
554,104,Ojas Yogi,39,1,0
555,576,Vasudha Krishnan,71,1,0
556,623,Mahika Sen,12,1,0
557,319,Ayaan Chanda,24,2,0
558,460,Vanya Handa,85,2,1
559,264,Xalak Yohannan,51,2,0
560,873,Jagvi Sarin,7,2,1
561,63,Onkar Mittal,34,2,0
562,458,Yuvraj Krishna,63,2,0
563,955,Akshay Sachar,27,1,1
564,921,Sarthak Ramaswamy,80,1,0
565,202,Veer Nagy,28,2,0
566,652,Harita Kadakia,6,2,0
567,473,Gaurav Wason,10,2,1
568,958,Upkaar Chhabra,68,1,0
569,359,Shravya Kaul,70,2,0
570,327,Hredhaan Srinivasan,51,2,1
571,695,Hemang Char,48,2,0
572,184,Max Randhawa,65,1,1
573,870,Bhavini Bahl,74,1,1
574,454,Gautami Narayanan,11,1,1
575,63,Advik Bhandari,6,1,1
576,925,Jhalak Zacharia,65,2,1
577,504,Thomas Golla,26,1,0
578,507,Upadhriti Shroff,39,1,0
579,453,Kamala Pall,87,1,0
580,381,Prisha Ramakrishnan,26,2,1
581,988,Madhavi Mander,17,1,0
582,470,Sudiksha Mangat,89,2,1
583,214,Gunbir Soni,22,2,0
584,546,Teerth Tiwari,47,1,1
585,19,Vedhika Wason,61,1,1
586,34,Rajeshri Padmanabhan,60,2,1
587,753,Kala Chander,52,2,0
588,473,Qadim Soman,51,1,0
589,950,Parth Savant,26,1,1
590,417,Patrick Palla,19,1,1
591,15,Arjun Srinivas,33,2,1
592,898,Gaurang Taneja,64,2,0
593,321,Theodore Pal,80,1,1
594,659,Charles Anne,65,1,0
595,398,Wakeeta Patla,65,1,1
596,692,Isha Salvi,59,2,1
597,534,Chandresh Gole,58,2,1
598,205,Janani Bhattacharyya,77,1,1
599,386,Gautami Wadhwa,71,2,1
600,29,Agastya Dhar,11,1,1
601,318,Charita Arora,25,2,0
602,315,Owen Shenoy,68,1,0
603,773,Noah Ahluwalia,81,2,1
604,882,Upkaar Mane,50,1,0
605,756,Qasim Sidhu,49,2,1
606,94,Lakshit Peri,66,1,1
607,128,Anita Rana,32,2,0
608,344,Ekbal Konda,78,1,1
609,399,Hitesh Kapadia,46,1,1
610,971,Chaitanya Kaur,83,1,0
611,163,Tanay Sahni,61,1,1
612,620,Leena Kara,19,1,0
613,824,Pranav Lalla,41,2,0
614,515,Brinda Patel,60,1,0
615,722,Reva Narain,50,2,1
616,647,Max Bose,63,1,1
617,527,Chaman Pillay,33,2,1
618,545,Wishi Dara,26,1,0
619,950,Lakshit Talwar,54,1,0
620,649,Megha Oak,21,1,1
621,278,Watika Nath,53,2,0
622,307,Hardik Tella,36,2,0
623,317,Girish Goda,47,2,0
624,957,Nimrat Pillay,26,1,0
625,864,Unnati Nagarajan,59,2,0
626,153,Nachiket Chad,65,2,1
627,272,Harrison Bajwa,31,2,0
628,740,Anmol Raman,80,1,0
629,49,Lucky Vora,45,2,0
630,827,Warinder Sanghvi,76,2,1
631,620,Chandran Aurora,51,1,1
632,556,Ekta Sule,53,1,0
633,498,Ranbir Deo,37,2,1
634,671,Arjun Prasad,12,1,1
635,764,Sathvik Toor,55,1,0
636,889,Oni Singh,56,2,0
637,455,Shivansh Gupta,77,2,1
638,324,Manbir Balasubramanian,79,1,0
639,704,Jasmit Nadkarni,47,2,1
640,710,Matthew Ahluwalia,20,1,0
641,776,Rayaan Misra,62,2,0
642,407,Mitesh Krish,26,1,1
643,379,Janaki Deep,24,1,1
644,153,Maanav Bala,82,2,1
645,564,Harrison Taneja,82,1,1
646,677,Jagrati Mukhopadhyay,80,1,0
647,445,Widisha Chauhan,41,1,0
648,288,Ganga Thaker,7,2,1
649,640,Dayamai Thakkar,17,1,0
650,551,Lakshmi Shroff,8,1,1
651,922,Zaitra Comar,19,1,0
652,619,Waida Mand,70,1,1
653,679,Ira Thakur,49,1,0
654,616,Saumya Mander,48,1,0
655,724,Januja Modi,27,1,0
656,734,Charan Shan,33,2,0
657,935,Gaurika Chatterjee,82,1,1
658,40,Bachittar Mangal,65,2,0
659,77,Mitesh Ramakrishnan,67,1,1
660,349,Aradhana Malhotra,37,2,0
661,386,Megha Parmer,74,2,0
662,895,Qabil Seth,21,2,0
663,77,Urvashi Bose,82,2,1
664,188,Quincy Manda,11,2,0
665,251,Udarsh Choudhary,49,1,1
666,414,Janya Narain,6,1,0
667,892,Meghana Kapur,36,1,0
668,274,Jeet Doshi,25,2,1
669,232,Kamala Sarma,42,2,0
670,881,Chavvi Bassi,32,2,1
671,509,Meera Varkey,79,1,0
672,98,Laksh Virk,67,2,1
673,397,Bahadurjit Minhas,25,1,1
674,709,Dayamai Palla,31,1,1
675,114,Ridhi Bandi,26,1,1
676,655,Oliver Pall,51,2,1
677,122,Arunima Sura,8,2,1
678,585,Rachita Singh,70,2,1
679,948,Reyansh Gill,57,1,1
680,332,Kevin Hora,55,1,1
681,549,Bhavika Buch,19,2,1
682,333,Alexander Hora,9,1,1
683,673,Adweta Setty,55,1,0
684,575,Neelima Bhargava,52,2,0
685,937,Hemal Madan,5,1,1
686,914,Nathaniel Buch,39,1,1
687,966,Bimala Oza,39,1,0
688,674,Chatresh Thaker,8,2,1
689,119,Gunbir Contractor,23,2,0
690,61,Yuvraj Murty,72,1,1
691,613,Timothy Issac,29,2,0
692,513,Darika Nigam,35,1,0
693,369,Kiaan Balasubramanian,23,1,0
694,484,Aditya Pant,16,2,0
695,74,Watika Palla,62,1,0
696,777,Unnati Sankar,70,1,0
697,788,Pranav Vasa,43,1,1
698,43,Ekaraj Wali,48,2,1
699,742,Upma Goel,66,1,1
700,594,Qabil Mohan,77,1,0
701,584,Aashi Chaudry,86,1,1
702,715,Qushi Chad,88,1,0
703,829,Yagnesh Sengupta,35,1,1
704,780,Rohan Sule,34,1,1
705,127,Girik Chaudhary,8,2,0
706,82,Arin Shere,46,2,1
707,575,Jagrati Keer,36,1,1
708,476,Isaiah Mandal,64,1,1
709,966,Widisha Majumdar,63,1,1
710,87,Ayush Mahal,22,1,0
711,202,Avi Lall,73,2,0
712,561,Kabir Mallick,88,2,0
713,889,Tanmayi Thaman,71,2,0
714,50,Zaitra Vig,17,1,1
715,23,Yauvani Sarma,62,1,0
716,893,Odika Sunder,77,1,1
717,409,Qushi Mann,81,2,0
718,891,Nachiket Bedi,41,2,0
719,570,Kritika Bains,68,2,0
720,615,Bakhshi Khalsa,53,2,0
721,204,Yashasvi Gill,51,1,1
722,924,Bhavya Master,31,1,1
723,759,Owen Dhar,27,1,1
724,63,Rajeshri Uppal,20,1,0
725,665,Orinder Krishna,81,2,0
726,36,Chakrika Aggarwal,87,1,0
