VehicleID,CaseMasterID,VehicleType,VehicleNumber,Owner
164,46,Bus,KA07BD6214,Hemal Sharma
165,127,Bus,KA52DB1926,Zansi Subramaniam
166,293,Truck,KA31EA5409,Tarak Pau
167,637,Car,KA21CA7172,Wishi Gopal
168,869,Truck,KA53DA7186,Yug Dutt
169,283,Truck,KA21EB5894,Rudra Kothari
170,303,Car,KA08ED3887,Chavvi Subramanian
171,107,Bus,KA08AA4942,Zilmil Mallick
172,119,Bike,KA22EB1887,Panini Soni
173,534,Auto,KA60AE2068,Sai Sathe
174,120,Truck,KA09AE9998,Anya Amble
175,739,Bike,KA59BC7431,Anita Srinivas
176,37,Car,KA35DE1459,Yash Halder
177,996,Bus,KA21BE5913,Aryan Kothari
178,144,Auto,KA59EA3454,Ranveer Kala
179,971,Auto,KA46BC9003,Yatin Murty
180,667,Truck,KA10BE2827,Thomas Vora
181,622,Auto,KA60DD9371,Sachi Grover
182,714,Car,KA30BB1117,Vrinda Bala
183,402,Bus,KA07CE5559,Peter Tripathi
184,629,Bike,KA34CE5540,Devansh Narain
185,715,Auto,KA21DD5006,Viraj Subramaniam
186,220,Auto,KA14BC5461,Yug Baral
187,195,Auto,KA04BA8342,Zinal Bhalla
188,314,Bike,KA52ED1823,Anamika Buch
189,229,Car,KA58BB1114,Adya Setty
190,726,Auto,KA10ED9069,Siddharth Walia
191,682,Auto,KA28CB8769,Gaurang Hora
192,379,Bike,KA50AA7846,Maanas Natt
193,901,Bus,KA41EE9841,Divya Pal
194,636,Bike,KA05AB7724,William Khare
195,212,Car,KA26DE7782,Ishani Lanka
196,560,Bike,KA38DC7886,Chandani Bansal
197,241,Truck,KA49BE5388,Vedika Wali
198,90,Car,KA17CD6993,Faqid Nazareth
199,311,Bus,KA55CA7729,Suhani Kadakia
200,93,Truck,KA16DE6333,Shivani Rajagopalan
201,166,Truck,KA23CA2291,Chaman Ganesh
202,902,Bike,KA32EB3375,Sai Kaul
203,991,Bus,KA10AB3548,Falak Goswami
204,441,Car,KA21AD4741,Prisha Rout
205,574,Bike,KA38BC4921,Chanchal Koshy
206,688,Car,KA04BD8670,Ekansh Nagarajan
207,239,Truck,KA21CA5998,Eesha Kala
208,583,Bus,KA25BD6834,Aashi Arora
209,974,Bus,KA35EB7847,Aryan Solanki
210,919,Truck,KA59BA8675,Diya Murthy
211,825,Auto,KA56CE3105,Krisha Manda
212,76,Bus,KA18EC7649,Oliver Karpe
213,191,Car,KA15BB3538,Abha Kar
214,747,Auto,KA23DE6856,Balendra Bhasin
215,661,Bus,KA24AA5148,Warinder Chokshi
216,221,Auto,KA34CB4412,Siddharth Raju
217,920,Bus,KA11BC5918,Gunbir Oza
218,827,Bike,KA51AD5420,Daksha Varty
219,590,Bus,KA26CB6882,Dakshesh Buch
220,92,Bus,KA53AC2111,Qarin Bhatt
221,77,Bike,KA25CE1280,Yochana Chakrabarti
222,187,Car,KA41AD2208,Oeshi Issac
223,564,Bike,KA05EA6621,Aarna Roy
224,987,Bus,KA43DD3407,Manya Nadkarni
225,843,Bike,KA44BE6530,Yashoda Jhaveri
226,315,Car,KA27CA9008,Yuvraj Narain
227,867,Car,KA11EA3396,Dalbir Dhar
228,287,Auto,KA50DC1892,Maanav D’Alia
229,661,Bus,KA17AD3567,Gautam Dhaliwal
230,596,Truck,KA17CE7866,Tara Borde
231,773,Bus,KA49CA5233,Dhruv Sehgal
232,274,Bike,KA30BE6669,Kiaan Buch
233,265,Car,KA34BA9805,Jeet Bhat
234,19,Bus,KA07BA9421,Ranbir Shroff
235,277,Auto,KA17BE3219,Max Soni
236,764,Auto,KA32AA3304,Aayush Borra
237,749,Car,KA05EA5473,Logan Narula
238,659,Truck,KA48CD6817,Vinaya Sant
239,573,Bike,KA05BE4979,Brijesh Rai
240,46,Bus,KA01CD4303,Daksha Gopal
241,837,Car,KA17AD2213,Viraj Pall
242,894,Car,KA23EE4221,Omkaar Pant
243,205,Bike,KA45CC1315,Nathaniel Dhar
244,529,Bus,KA32CE8884,Damini Pau
245,853,Auto,KA59CA6300,Balvan Karnik
246,599,Truck,KA27BA3198,Rachita Modi
247,543,Car,KA35CE8001,Viraj Prabhu
248,206,Bike,KA26CB8528,Samuel Gaba
249,33,Truck,KA55DA2071,Yuvraj Ravi
250,971,Auto,KA47DB3924,Bimala Sem
251,539,Truck,KA47CE8665,Saksham Dora
252,967,Bus,KA52DA1370,Triya D’Alia
253,378,Auto,KA60EC6537,Suhani Taneja
254,276,Car,KA13EE2311,Utkarsh Deep
255,476,Car,KA52EA3946,Pushti Batra
256,883,Auto,KA17DE1157,Mitali Samra
257,669,Bike,KA55AA5169,Nakul Kar
258,13,Auto,KA08DA2302,Viraj Anand
259,365,Bus,KA26DC7533,Nitara D’Alia
260,197,Car,KA45AA6898,Guneet Balay
261,181,Car,KA27BD2210,Aashi Devan
262,881,Auto,KA44DA9137,Anmol Gopal
263,302,Bike,KA39BC2985,Qabil Chaudhuri
264,517,Truck,KA32ED7244,Bhavya Chakraborty
265,572,Bus,KA17CB5543,Raagini Atwal
266,400,Bus,KA47EE1566,Nandini Dalal
267,267,Car,KA22AA4279,Ishanvi Naidu
268,974,Bus,KA04BC6389,Yoshita Prabhakar
269,331,Car,KA41AA1084,Alexander Nagi
270,444,Auto,KA33BE4044,Jeevika Kakar
271,595,Car,KA34AC2546,Viraj Yadav
272,211,Car,KA58EE7541,Frederick Ghosh
273,181,Car,KA01BC2290,Simon Kurian
274,599,Truck,KA46BD3820,Aadhya Balasubramanian
275,106,Bus,KA10AD4165,Nakul Swamy
276,669,Auto,KA07EC2840,Ekaja Ravi
277,916,Bike,KA58ED8450,Upma Batta
278,753,Car,KA22DE9411,Abhimanyu Kannan
279,332,Truck,KA59EB5402,Garima Biswas
280,522,Bike,KA54CD9180,Udarsh Krish
281,905,Bike,KA30DE3569,Eiravati Jani
282,295,Car,KA49EE6149,Vedant Deshmukh
283,373,Car,KA01AE8509,Daniel Rama
284,534,Truck,KA08AB2790,Pahal Prakash
285,803,Bus,KA32EC2903,Bina Vig
286,902,Bus,KA01BB2360,Inaya Prasad
287,88,Auto,KA34CB6272,Bhavna Saxena
288,366,Car,KA38EE4261,Vasana Deo
289,239,Auto,KA24BB4775,Upma Batra
290,471,Truck,KA30AC1640,Hredhaan Mane
291,413,Bike,KA03BD3663,Pranav Srinivasan
292,813,Truck,KA25AE8492,Reyansh Mishra
293,134,Bus,KA51CC6772,Om Bakshi
294,736,Bus,KA42EB8555,Siya Bahri
295,527,Truck,KA32CD4579,Leena Buch
296,73,Bus,KA54EB8450,Kashvi Bhardwaj
297,782,Car,KA44AE7486,Kamya Borra
298,114,Bike,KA55EB4744,Bahadurjit Vasa
299,828,Truck,KA37EE4122,Faqid Rao
300,344,Auto,KA48AC8839,Bhavini Yadav
301,647,Truck,KA47BA8279,Anay Rao
302,9,Car,KA28EA9732,Krisha Pandey
303,982,Bike,KA18DC7207,Unni Ratta
304,991,Car,KA24CA1894,Charan Dave
305,493,Car,KA53BB2380,Yasti Bhatt
306,117,Auto,KA14AB4693,Ira Kakar
307,93,Truck,KA23CB7113,Faraj Devi
308,955,Car,KA49CB9540,Om Gaba
309,614,Car,KA29DA6750,Jeremiah Bhakta
310,211,Truck,KA47AE6322,Raagini Suri
311,746,Auto,KA29EE7495,Ekavir Rai
312,424,Car,KA23BC7126,Damini Dube
313,670,Bike,KA19CA4737,Ryan Basu
314,504,Auto,KA42CE1932,Jeremiah Lanka
315,35,Bike,KA26EE2788,Charles Handa
316,852,Bus,KA20BC9665,Gautami Rajan
317,404,Auto,KA48BA8746,Amaira Tripathi
318,712,Bike,KA31CA8703,Neha Gola
319,980,Truck,KA06DE9971,Saumya Mand
320,619,Truck,KA06CA8699,Pahal Chauhan
321,387,Bike,KA07BE6250,Oeshi Bansal
322,428,Bike,KA40BD8767,Max Kunda
323,735,Car,KA06EC9086,Triveni Dugal
324,879,Car,KA15AC2304,William Sathe
325,992,Bike,KA43EE3222,Nirja Sarin
326,115,Bike,KA43DB8073,Yashasvi Tailor
327,687,Truck,KA20BA1062,Yashawini Wali
328,730,Bike,KA57CE3127,Triveni Tara
329,745,Auto,KA26AE4894,Samar Sampath
330,343,Bike,KA40BC2992,Baljiwan Dara
331,64,Truck,KA57AB2408,Sachi Singh
332,385,Car,KA30EE8675,Mugdha Gopal
333,464,Car,KA19DC9796,Amara Vala
334,423,Bus,KA59CB2789,Aadhya Ravel
335,350,Bike,KA54DA6865,Sachi Ramesh
336,560,Bike,KA59DC3254,Jack Mane
337,500,Truck,KA59BC9531,Rehaan Kohli
338,532,Auto,KA25DB5160,Imaran Biswas
339,822,Auto,KA57AB2705,Upadhriti Kakar
340,835,Bike,KA14EB2544,Anmol Gade
341,439,Truck,KA54DA5994,Chavvi Choudhry
342,175,Truck,KA13DA4506,Rudra Khurana
343,164,Bus,KA14AE8706,Raghav Purohit
344,476,Truck,KA04CE5233,Benjamin Sood
345,634,Truck,KA18DB1850,Bhavani Khare
346,19,Car,KA52ED8897,Widisha Parsa
347,240,Auto,KA52BD2550,Ayushman Nath
348,648,Bike,KA56EE6442,Isha Ghosh
349,225,Car,KA44CD3943,Jeremiah Hayer
350,434,Bike,KA09DD9423,Jagrati Bava
351,289,Bus,KA07BB4622,Bhavya Sarkar
352,72,Auto,KA51DB9709,Meera Talwar
353,472,Auto,KA05BD6123,Quincy Natarajan
354,187,Bus,KA55EC7222,Siya Ramesh
355,638,Truck,KA45BC8527,Bimala Comar
356,942,Truck,KA47DB7825,Jacob Basak
357,774,Auto,KA51AE1950,Zilmil Chad
358,629,Bike,KA07CD5665,Pranit Golla
359,893,Truck,KA56EB8763,Raagini Lala
360,603,Car,KA08EC8935,Chanakya Shroff
361,770,Truck,KA20DC4548,Warda Chadha
362,575,Truck,KA27BD7349,Adya Lall
363,345,Auto,KA05DD1406,Shaurya Kadakia
364,341,Car,KA29BD9041,Arjun Sahni
365,109,Car,KA15CB2784,Balendra Raman
366,895,Bus,KA29CD9539,Jatin Badami
367,148,Bus,KA32AA7998,Luke Mitra
368,498,Truck,KA47ED6225,Rachit Mahajan
369,959,Bus,KA12AD6375,Hemal Sarna
370,624,Truck,KA38EB1776,Zayyan Oak
371,688,Bike,KA25DC9126,Xiti Sankaran
372,36,Car,KA55AA1860,Jhalak Lall
373,477,Truck,KA42DE8382,Tanay Natt
374,299,Bus,KA56DD3896,Gunbir Bhandari
375,307,Bus,KA15BC3721,Farhan Bhatia
376,255,Bike,KA14BE8962,Ikshita Kalla
377,353,Auto,KA06ED1116,Girindra Subramaniam
378,266,Truck,KA53EA6023,Tarak Chandra
379,207,Bus,KA52CB6098,Shaurya Agate
380,587,Bus,KA57BE9109,Utkarsh Pathak
381,126,Bike,KA55CA5585,Aahana Keer
382,197,Car,KA16AB5572,Adweta Korpal
383,624,Bus,KA57BE8184,Aradhana Borah
384,143,Bus,KA22BC8959,Widisha Ratta
385,826,Auto,KA08AA6117,Prisha Devan
386,237,Truck,KA24AC9500,Baghyawati Dyal
387,245,Auto,KA29BC5945,Dayamai Raju
388,657,Auto,KA56EA5651,Reva Balay
389,677,Bus,KA17CA9260,Warjas Savant
390,598,Auto,KA41DE5900,Orinder Modi
391,888,Car,KA22CC1429,Aarush Nadkarni
392,10,Bus,KA29CA3076,Ayushman Ganesan
393,991,Car,KA11BB8619,Jagrati Karnik
394,96,Auto,KA48EC8912,Wakeeta Hayre
395,460,Auto,KA26EC4712,Unnati Som
396,504,Bike,KA57AA1039,Tamanna Choudhary
397,404,Auto,KA13DE1637,Anika Nazareth
398,193,Truck,KA45CD2324,Farhan Mutti
399,253,Bike,KA34EE4842,Nirja Sodhi
400,777,Truck,KA14AE5963,Bahadurjit Luthra
401,400,Bus,KA27EE6898,Idika Jhaveri
402,161,Truck,KA39AE3198,Ira Tailor
403,759,Truck,KA06AC4910,Chandresh Sekhon
404,607,Bus,KA41EE7428,Eesha Ramesh
405,45,Car,KA14DC1480,Zayyan Ranganathan
406,914,Car,KA07EC3918,Fitan Kurian
407,34,Bike,KA23EB5176,Urvi Jha
408,468,Car,KA28AC1571,Anmol Bhavsar
409,104,Bike,KA06CA4918,Oni Mutti
410,185,Bike,KA14AB5460,Nilima Shere
411,331,Truck,KA08DC5839,Kai Mall
412,89,Truck,KA08ED1414,Wahab Malhotra
413,162,Auto,KA26DA3343,Vihaan Sodhi
414,725,Auto,KA35AA5430,Faraj Radhakrishnan
415,678,Bike,KA07AD6576,Tanay Shankar
416,557,Bus,KA12BC2747,Vedhika Pillay
417,544,Bike,KA23CE7658,Udyati Raj
418,43,Car,KA50CA7527,Azaan Venkatesh
419,499,Bus,KA12DC6630,Manthan Bains
420,567,Car,KA34AC5038,Warda Nadkarni
421,563,Car,KA53EB5918,Atharv Arya
422,145,Truck,KA59BE3797,Devika Basak
423,868,Truck,KA07BA5360,Chakradhar Nigam
424,997,Truck,KA14AD6085,Zaid Kar
425,300,Car,KA12CD2767,Zilmil Raman
426,70,Car,KA53DD4420,Zaid Ahluwalia
427,418,Truck,KA18DE1005,Vihaan Prashad
428,433,Auto,KA51DE6022,Irya Bhalla
429,143,Bus,KA07DA2367,Chaman Rastogi
430,565,Auto,KA55DB4927,Triveni Krishnan
431,168,Bus,KA09DC1039,Chaaya Sahota
432,187,Car,KA24EB2530,Isaiah Raju
433,381,Truck,KA36DE5621,Hema Rattan
434,201,Bus,KA39AC1811,Yachana Kala
435,783,Truck,KA05DA2737,Yasti Hans
436,731,Car,KA29BC7292,Yutika Deep
437,337,Car,KA14EC4429,Dev Baral
438,904,Bus,KA35AD4082,Girindra Vyas
439,122,Bike,KA22DB8577,Gayathri Anne
440,733,Auto,KA35EC5043,Naksh Gill
441,1000,Car,KA52CE5646,Michael Menon
442,28,Bike,KA24BC5878,Dhriti Kaul
443,230,Truck,KA38DB2534,Yug Pradhan
444,935,Car,KA39DD8749,Kritika Thaker
445,453,Truck,KA01BC9699,Abhimanyu Soman
446,412,Car,KA42AD2318,Nihal Sinha
447,923,Bike,KA37AD2339,Onveer Naik
448,903,Truck,KA58DD5823,Nakul Kakar
449,81,Auto,KA37BA2654,Lakshit Comar
450,996,Bike,KA07CD5862,Ishani Edwin
451,630,Bus,KA54BE6451,Ria Shah
452,342,Truck,KA28CC6280,Orinder Trivedi
453,875,Bike,KA45AA2984,Logan Lad
454,528,Bus,KA37CC7898,Lucky Setty
455,628,Car,KA17AE7274,Upkaar Bansal
456,689,Car,KA24CC6011,Nitara Ahluwalia
457,264,Auto,KA15CA3093,Caleb Mall
458,55,Car,KA35AC7299,Priya Chhabra
459,44,Bus,KA29CA5870,Mohini Sandal
460,756,Truck,KA25AA7083,Osha Luthra
461,701,Car,KA01DE3869,Abha Sharma
462,816,Bus,KA50BB5398,Yasti Thakur
463,87,Bike,KA33ED3869,Nakul Keer
464,949,Car,KA06EC6373,Yashawini Sawhney
465,62,Auto,KA17BB7016,Tamanna Bhatnagar
466,272,Car,KA60DC1832,Jagdish Bhavsar
467,451,Auto,KA17DD6398,Patrick Sunder
468,78,Auto,KA24CC5592,Gavin Hayer
469,38,Bus,KA42BC9534,Damyanti Shan
470,87,Auto,KA02AC2808,Mohini Bal
471,181,Bus,KA26CE5131,Oliver Chopra
472,980,Bus,KA44EB3615,Forum Mital
473,232,Auto,KA02AD4763,Aishani Swamy
474,18,Bus,KA10BC1739,Rayaan Sawhney
475,652,Truck,KA46CC3542,Ati Gopal
476,992,Truck,KA22AD4688,Rayaan Lall
477,233,Auto,KA23DC7124,Hemang Sarna
478,912,Auto,KA22AB5226,Amrita Atwal
479,518,Auto,KA20EA3925,Yug Bala
480,851,Truck,KA42CC5842,Bhavani Soman
481,989,Bus,KA43CE2231,Kiaan Sule
482,872,Bus,KA39DC5265,Qarin Salvi
483,197,Bike,KA38DD1853,Guneet Prakash
484,970,Bus,KA12EC8288,Gopal Tandon
485,423,Truck,KA31BA4013,Keya Vasa
486,619,Car,KA58CE5153,Ekiya Chawla
487,255,Auto,KA31EC3512,Veer Kannan
488,638,Auto,KA10AD5902,Vedika Garde
489,95,Auto,KA19DE2479,Tarak Natt
490,452,Car,KA15CE4529,Karan Tara
491,801,Car,KA18DD9142,Frederick Bahri
492,693,Bike,KA06DD1714,Hemal Parekh
493,364,Bus,KA15AA9745,Ishaan Bose
494,783,Bike,KA12EB9833,Girindra Chandra
495,394,Bus,KA06BB5227,Vincent Gala
496,642,Bus,KA02DD9386,Warjas Chakraborty
497,747,Bike,KA10CC6116,Amaira Prashad
498,356,Truck,KA21BD3050,Wazir Thakkar
499,118,Bike,KA56ED5345,Isaiah Ramakrishnan
500,551,Bus,KA41BB3015,Anvi Rao
501,728,Auto,KA05CE5177,Widisha Gill
502,687,Car,KA45EB2447,Ojasvi Bandi
503,223,Auto,KA57DB5640,Devansh Patel
504,408,Auto,KA32AA8516,Meghana Gole
505,482,Auto,KA53EA4027,Vinaya Misra
506,236,Bike,KA11DC5068,Nitara Kapur
507,618,Bus,KA51BC8549,Naveen Bali
508,734,Bike,KA18BB2762,Yashica Bal
509,359,Bike,KA18EA1617,Lipika Mitra
510,205,Auto,KA25DC4997,Karan Wable
511,671,Truck,KA22CA6600,Jai Dey
512,975,Car,KA58DE1913,Forum Natt
513,176,Bike,KA27AD8208,Eshana Kamdar
514,439,Auto,KA53DC7311,Reva Ratti
515,288,Car,KA43DB1144,Lakshmi Ahluwalia
516,708,Bus,KA39AA1602,Mitali Master
517,182,Bus,KA45EC5713,Frado Rao
518,813,Auto,KA35BC5170,Arjun Purohit
519,665,Bike,KA08EE1695,Daniel Warrior
520,242,Auto,KA32CA1353,Brinda Krishna
521,871,Auto,KA34EC5679,Karan Ranganathan
522,464,Bus,KA59AB8129,William Prabhu
523,951,Bike,KA31CD3106,Nilima Prabhakar
524,711,Bus,KA56AC1599,Rajeshri Maharaj
525,522,Car,KA24BA8732,Hemang Contractor
526,219,Car,KA15CA9325,Qasim Sarraf
527,680,Truck,KA12AB8541,Falguni Panchal
528,964,Bus,KA02AC8350,Kashish Sahota
529,788,Car,KA46EB5262,Hitesh Choudhury
530,69,Bike,KA57DE1134,Mohammed Gaba
531,201,Truck,KA06AD7989,Chaman Gopal
532,30,Car,KA49EB1891,Indali Maharaj
533,260,Bus,KA08DE1577,Balvan Bora
534,964,Auto,KA24DC8636,Victor Patil
535,189,Auto,KA51DA2422,Riya Mangal
536,806,Bus,KA33BC2957,Manthan Dada
537,957,Auto,KA14DC9162,Anvi Salvi
538,210,Bus,KA19AE7826,Vrishti Balakrishnan
539,303,Car,KA15CD6247,Leena Halder
540,29,Bike,KA02AA5100,Radha Kuruvilla
541,119,Bike,KA49DB6131,Wridesh Sridhar
542,145,Auto,KA38EB8508,Siddharth Mukherjee
543,653,Auto,KA21AA7458,Zilmil Rajan
544,948,Auto,KA28AD9039,Guneet Master
545,621,Bus,KA27ED4498,Damini Dugar
546,159,Car,KA58BB1921,Reva Dhingra
547,782,Bus,KA31DB1973,Aditya Behl
548,84,Bike,KA28AB8161,Varenya Tank
549,985,Auto,KA32AE2611,Aditya Pai
550,289,Truck,KA58EB4158,Isaiah Sani
551,962,Auto,KA43CE5701,Jagat Pradhan
552,981,Auto,KA01AB6026,Keya Srinivas
553,812,Auto,KA40DD6049,Rachita Patel
554,25,Car,KA18DC3282,Falan Sethi
555,162,Truck,KA42DD2028,Rudra Mallick
556,584,Bike,KA49AA6633,Hemang Goyal
557,350,Car,KA29BC6286,Mekhala Sood
558,765,Truck,KA51AE1941,Upma Muni
559,929,Auto,KA52CE5574,Jhalak Bose
