ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
110,398,Jonathan Sarin,56,5,5,4,2
111,396,Unnati Rout,73,3,3,2,2
112,528,Sneha Nadkarni,65,1,7,2,2
113,665,Vasatika Sura,76,1,7,3,2
114,277,Sai Shan,43,1,7,3,1
115,529,Kashish Hayer,25,1,4,4,2
116,615,Oviya Jhaveri,79,3,7,1,2
117,127,Bhavani Gill,48,8,2,4,1
118,723,Anya Kannan,27,7,6,2,2
119,94,Ishita Sagar,59,6,5,2,1
120,652,Oeshi Gaba,29,1,2,4,1
121,872,Pallavi Talwar,24,4,1,1,2
122,378,Chaitaly Sekhon,46,7,5,3,1
123,653,Neelima Tank,36,7,4,4,2
124,160,Finn Doctor,43,8,2,4,1
125,238,Warda Bhardwaj,78,6,2,2,2
126,336,Neel Jayaraman,26,2,1,5,2
127,105,Fitan De,27,3,1,1,1
128,475,Wahab Kurian,68,1,3,2,2
129,10,Lavanya Morar,73,1,7,5,1
130,789,Veer Saran,54,3,4,5,2
131,39,Baghyawati Chakrabarti,63,4,7,5,1
132,934,Ekanta Karpe,29,8,5,5,2
133,922,Tanveer Sane,31,5,3,2,1
134,879,Priya Thakur,45,6,3,3,2
135,196,Sanya Guha,24,5,5,5,1
136,372,Hemal Manda,45,6,4,3,2
137,645,Baghyawati Panchal,29,7,6,2,2
138,437,Dalaja Gaba,40,1,6,5,2
139,932,Quincy Bath,72,5,6,3,2
140,382,Harini Ratta,64,1,7,2,2
141,139,Ojas Iyengar,48,7,6,5,2
142,221,Kala Morar,77,1,5,2,1
143,206,Netra Saraf,47,8,4,3,1
144,577,Qushi Mutti,69,7,5,3,2
145,378,Anirudh Soni,79,6,5,1,1
146,273,Urvashi Bhatnagar,21,1,1,5,1
147,419,Fiyaz Din,76,2,7,4,1
148,771,Michael Kashyap,37,3,4,5,1
149,326,Ishwar Sarraf,33,2,3,3,1
150,299,Daksha Divan,59,6,2,3,1
151,698,Bakhshi Atwal,37,4,2,4,1
152,192,Janani Vora,28,3,1,1,1
153,172,Balveer Bhalla,56,5,4,1,1
154,374,Avni Bal,67,6,4,4,2
155,31,Oliver Dua,74,6,5,1,2
156,877,Gaurika Madan,69,2,1,3,2
157,710,Raghav Chowdhury,69,1,7,3,1
158,502,Meghana Bail,72,2,5,3,1
159,424,Lajita Pandya,78,8,4,2,1
160,831,Ayush Loyal,58,8,4,1,1
161,751,Brijesh Bath,33,3,6,3,2
162,884,Vyanjana Sachdev,56,1,5,4,2
163,572,Darsh Sabharwal,71,5,4,3,1
164,272,Gayathri Sekhon,56,3,5,1,2
165,563,Raksha Roy,50,6,7,5,2
166,64,Avni Parmer,32,7,1,4,2
167,592,Keya Pillai,19,1,7,3,2
168,953,Chatresh Choudhury,46,5,1,3,2
169,182,Samaksh Anand,24,1,2,4,1
170,555,Jagdish Puri,38,8,6,4,2
171,228,Parth Palla,30,2,4,2,2
172,22,Farhan Sura,70,4,3,1,1
173,314,Fiyaz Kapur,69,4,2,1,1
174,531,Maanas Deep,56,8,2,2,2
175,724,Ojasvi Goswami,19,2,4,4,1
176,394,Janaki Nayak,29,5,7,5,1
177,691,Mitesh Dhar,77,8,5,1,1
178,710,Jason Sibal,43,5,2,2,2
179,433,Pooja Behl,59,3,7,2,2
180,798,David Borra,64,1,2,4,2
181,424,Gagan Pandya,53,6,1,3,2
182,293,Samesh Lad,18,4,5,2,2
183,205,Darika Kunda,67,6,3,5,1
184,123,Yatin Loke,57,6,6,5,2
185,602,Bhavna Sura,58,8,3,4,1
186,965,Keya Edwin,29,5,2,1,2
187,201,Nitara Dugar,30,4,3,5,1
188,181,Amaira Narayanan,60,2,5,4,2
189,419,Ojasvi Brar,59,4,7,5,2
190,524,Chasmum Sarna,21,3,6,5,1
191,740,Tanmayi Sarma,25,2,1,4,2
192,264,Leena Kamdar,76,1,4,3,2
193,133,Manthan Bhalla,64,7,7,5,1
194,208,Meera Chanda,74,1,4,5,2
195,616,Harita Sahota,23,5,5,3,2
196,704,Wriddhish Bhatti,35,3,3,5,1
197,697,Harish Narasimhan,70,4,3,2,2
198,669,Fitan Sandal,70,1,1,4,2
199,210,Chasmum Kohli,61,6,1,4,1
200,940,Krisha Toor,52,2,1,3,1
201,461,Vivaan Babu,49,8,7,1,2
202,49,Vivaan Nair,70,8,5,3,2
203,849,Anamika Loke,37,2,4,4,1
204,176,Jagvi Balakrishnan,77,3,1,3,1
205,717,Farhan Oak,32,5,5,1,2
206,835,Kevin Pradhan,65,6,2,3,2
207,880,Nirja Rout,67,2,1,3,1
208,600,Vrinda Jain,31,2,5,3,1
209,691,Ekani Bail,58,1,3,3,2
210,55,Varsha Nagy,56,8,3,1,2
211,489,Joshua Bobal,21,8,6,4,2
212,478,Vedhika Wable,52,4,1,2,1
213,44,Karan Bhandari,70,7,5,2,1
214,426,Dhriti Iyengar,79,6,5,3,1
215,400,Harinakshi Bhagat,28,5,1,1,1
216,337,Hritik Handa,55,7,2,1,2
217,81,Zashil Krishnamurthy,62,7,1,1,1
218,651,Gaurika Magar,51,7,1,2,1
219,755,Dayita Khare,24,4,5,5,2
220,724,Unnati Purohit,69,7,7,2,2
221,510,Bhavna Kala,47,5,7,5,1
222,175,Victor Konda,54,1,2,3,2
223,737,Jalsa Radhakrishnan,20,8,6,4,2
224,299,Neha Kara,18,1,7,3,1
225,321,Dipta Modi,63,3,6,4,1
226,9,Zinal Sundaram,75,8,5,4,1
227,312,Sathvik Sethi,51,6,1,3,1
228,574,Ekaraj Chacko,26,5,1,1,2
229,489,Warinder Buch,31,3,6,5,2
230,233,Omya Andra,65,7,1,2,1
231,715,Veda Basak,24,8,1,5,2
232,145,Nitara Nigam,29,8,4,3,2
233,635,Vivaan Sastry,67,4,3,5,1
234,577,Isha Guha,63,5,3,2,2
235,594,Ekta Pant,54,3,2,2,1
236,120,Osha Vig,67,3,6,2,2
237,819,Thomas Garg,57,1,2,5,2
238,591,Aayush Patil,78,6,5,2,1
239,194,Pahal Balakrishnan,74,7,6,4,1
240,937,Chasmum Lal,50,6,1,4,2
241,33,Parth Lad,53,8,5,2,1
242,911,Yamini Prasad,56,7,3,1,1
243,763,Oni Deshpande,33,4,6,5,1
244,966,Nitara Prashad,38,4,5,3,2
245,952,Nikita Tailor,30,7,5,4,2
246,66,Omkaar Chopra,31,3,6,1,2
247,426,Sara Mohan,80,2,3,4,1
248,921,Dalbir Raja,66,8,6,2,1
249,81,Darsh Lalla,79,8,7,2,1
250,995,Manthan Dey,56,1,6,1,1
251,611,Krisha Gaba,34,7,1,2,2
252,606,Meghana Nagi,21,5,4,4,2
253,733,Samar Sangha,62,8,1,5,2
254,666,Ronith Sarin,47,8,4,5,1
255,514,Faris Zachariah,27,3,3,2,2
256,70,Ansh Chanda,29,5,1,3,2
257,880,Daksha Dubey,36,6,7,1,2
258,453,Vritti Sem,60,1,5,5,2
259,866,Yatan Barad,48,8,7,1,2
260,200,Noah Barad,65,3,1,2,2
261,150,Wishi Rao,53,3,1,4,2
262,929,Reva Pall,27,8,4,2,2
263,96,Jagat Dua,66,1,4,2,2
264,855,Vrinda Merchant,61,6,4,3,2
265,674,Harita Sarma,21,5,7,1,1
266,830,Sathvik Gole,50,3,6,5,2
267,938,Qabil Purohit,28,7,7,2,2
268,119,Vamakshi Baral,39,5,3,5,1
269,740,Jatin Rege,21,3,3,1,2
270,879,Kabir Chowdhury,49,3,2,3,2
271,953,Indali Srinivasan,21,6,7,2,1
272,750,Dalbir Sengupta,65,1,7,3,2
273,625,Baljiwan Magar,30,1,6,5,2
274,335,Dalbir Verma,43,5,6,5,1
275,426,Wridesh Subramanian,19,1,7,1,2
276,834,Aditya Khatri,59,8,3,2,1
277,624,Tanvi Om,65,7,5,3,1
278,188,Leena Raghavan,61,8,1,4,2
279,24,Pranit Vala,51,7,5,3,1
280,64,Upadhriti Morar,25,7,6,3,1
281,668,Vivaan Dhar,66,7,7,5,2
282,970,Omya Sinha,65,6,5,3,1
283,369,Chandresh Chopra,68,3,2,5,2
284,763,Ryan Bhandari,39,8,4,5,2
285,689,Prisha Kara,49,3,6,2,2
286,233,Alka Murty,31,4,4,2,1
287,528,Aashi Mistry,64,6,7,4,1
288,271,Kalpit Savant,24,3,7,4,1
289,885,Yatan Kara,72,7,2,4,2
290,975,Saanvi Mander,38,4,2,3,1
291,407,Dalaja Yogi,63,3,2,1,1
292,37,Avi Devan,36,7,6,1,2
293,395,Keya Sarin,57,5,2,1,2
294,690,Ikbal Kara,38,4,7,5,2
295,560,Saumya Mishra,40,3,6,3,1
296,997,Elijah Mukherjee,40,1,1,1,2
297,626,Logan Toor,47,8,3,1,1
298,622,Vrishti Rege,42,7,3,2,2
299,707,Barkha Ravel,28,7,3,2,1
300,889,Chanchal Gaba,30,4,6,2,2
301,748,Bina Choudhry,42,7,7,3,2
302,343,Rishi Talwar,44,5,6,4,1
303,364,Bishakha Korpal,73,7,2,3,2
304,97,Nidra Krishnan,58,2,3,5,2
305,451,Jason Sandal,49,8,6,4,1
306,259,Jacob Murthy,35,8,4,4,1
307,282,Vidhi Chakraborty,55,8,2,5,2
308,768,Liam Krishnamurthy,42,5,5,4,1
309,924,Utkarsh Natt,78,1,4,3,1
310,740,Yasti Sengupta,22,8,2,4,1
311,389,Isaiah Goswami,37,7,1,5,1
312,919,Barkha Chaudhary,74,8,3,2,1
313,551,Shivani Randhawa,74,6,5,4,2
314,117,Warda Tank,60,7,5,2,2
315,79,Geetika Iyengar,64,1,1,3,1
316,385,Yashawini Om,38,2,5,4,1
317,288,Nitesh Wali,18,1,3,5,1
318,157,Barkha Khurana,23,8,3,1,2
319,55,Finn Sodhi,36,8,7,3,1
320,415,Tanmayi Kothari,48,5,3,2,1
321,266,Nathan Krish,65,6,1,2,1
322,950,Frado Bhatti,56,7,5,4,1
323,777,Matthew Dhillon,21,1,7,5,2
324,962,Ikshita Tata,23,1,3,2,1
325,529,Tarak Prasad,35,6,7,5,2
326,164,Ishani Rajagopalan,80,5,7,2,1
327,877,Rachita Mand,36,1,5,1,2
328,639,Sathvik Sant,68,3,3,5,2
329,378,Ekanta Bhalla,48,7,6,1,2
330,157,Abeer Babu,39,7,4,5,2
331,109,Geetika Walla,22,4,6,3,1
332,946,Jeevika Ramakrishnan,30,8,4,3,1
333,564,Varenya Tella,37,4,4,5,2
334,186,Urishilla Karan,26,3,7,4,2
335,42,Garima Naidu,66,3,7,1,2
336,600,Arjun Dass,41,7,6,4,1
337,542,Brijesh Majumdar,63,7,7,5,1
338,476,Eesha Saxena,56,4,4,5,2
339,55,Owen Chada,67,7,5,2,1
340,151,Timothy Kant,73,1,4,1,2
341,343,Bishakha Mitter,79,2,5,4,1
342,585,Zaitra Salvi,28,1,5,1,2
343,492,Anthony Babu,51,8,6,2,1
344,905,Aarnav Nazareth,77,5,5,5,1
345,467,Nitesh Shah,73,3,6,4,1
346,874,Tara Chowdhury,36,3,1,1,2
347,213,Bhavya Subramanian,51,1,5,1,1
348,618,Onkar Behl,45,8,7,2,1
349,203,Abeer Divan,31,4,5,4,2
350,122,Qasim Bera,72,1,3,4,2
351,202,Arjun Mahal,45,2,2,5,1
352,619,Barkha Purohit,73,2,3,2,2
353,43,Zayan Khalsa,37,7,6,2,2
354,162,Nidhi Johal,19,5,4,2,2
355,654,Chaman Bahri,75,1,3,5,1
356,682,Orinder Misra,27,4,5,5,1
357,771,Nicholas Bedi,42,4,5,4,1
358,257,Aarav Gade,68,6,2,5,2
359,257,Upadhriti Agarwal,37,8,6,3,1
360,190,Zaitra Din,40,6,6,5,1
361,168,Zansi Gandhi,20,5,7,4,2
362,521,Yuvraj Dixit,68,2,3,4,2
363,176,Osha Mannan,71,5,5,2,1
364,981,Ira Roy,76,3,5,3,2
365,881,Gaurangi Bose,49,7,7,1,2
366,604,Aarini Narayanan,22,8,4,1,1
367,633,Naveen Singhal,29,3,3,3,2
368,511,Falguni Barad,51,6,7,3,2
369,157,Patrick Kant,69,7,1,4,1
370,625,Maanas Tara,55,8,7,4,1
371,703,Ishanvi Rout,20,1,1,5,2
372,577,Samesh Tripathi,50,3,5,1,1
373,485,Harsh Jaggi,36,5,1,2,1
374,1000,Rachita Pillay,61,1,4,1,1
375,830,Mahika Bahl,57,7,2,1,2
376,803,Edhitha Tara,37,8,7,1,2
377,838,Warinder Jayaraman,30,6,2,1,2
378,614,Dakshesh Peri,18,8,5,4,1
379,145,Charita Patla,65,5,4,4,1
380,638,Waida Bala,42,6,5,4,1
381,175,Watika Nagar,40,3,2,2,2
382,204,Orinder Patil,51,2,5,4,2
383,496,Chandran Behl,64,5,1,2,1
384,246,Urvashi Dash,66,4,4,1,2
385,1000,Upkaar Balasubramanian,37,4,6,2,1
386,800,Leena Nori,67,4,4,3,2
387,506,Laksh Karnik,63,4,4,3,1
388,273,Gopal Ramesh,30,2,6,3,2
389,107,Eiravati Kalita,24,8,1,5,2
390,971,Gagan Tara,54,3,7,3,1
391,572,Suhani Devi,32,6,4,2,1
392,488,Oviya Parsa,74,1,4,2,1
393,458,Onveer Manne,51,3,2,3,1
394,294,Jairaj Saha,43,5,7,1,1
395,557,Jeet Bhalla,19,2,2,2,1
396,69,Urmi Karan,30,5,4,1,1
397,802,Riya Varma,58,2,2,1,1
398,130,Yadavi Lala,51,1,1,2,1
399,871,Praneel Gour,38,6,4,5,2
400,946,Warhi Taneja,33,3,5,3,2
401,235,Ryan Hegde,18,2,3,5,1
402,827,Akshay Pillai,26,2,7,2,2
403,887,Dalbir Tella,78,3,1,5,1
404,587,Om Randhawa,68,8,1,2,1
405,55,Maanav Nayak,38,2,4,1,1
406,519,Harish Khosla,72,1,3,4,2
407,121,Faras Dasgupta,76,3,6,3,2
408,201,Ekani Dada,27,7,2,3,2
409,572,Yatin Sant,27,6,1,2,1
410,895,Jairaj Prakash,60,8,1,5,2
411,356,Varsha Kapur,41,2,3,3,2
412,939,Tanmayi Thaman,62,6,6,1,2
413,937,David Tata,39,1,2,3,2
414,591,Yahvi Aggarwal,42,3,6,3,2
415,492,Bishakha Morar,72,7,2,5,1
416,10,Gauri Krishna,75,6,6,4,1
417,737,Aarush Khurana,55,1,5,3,1
418,815,Jacob Deshmukh,57,7,7,1,1
419,442,Ucchal Seth,60,4,4,1,1
420,840,Aditya Mani,71,7,2,4,1
421,815,Ishanvi Swaminathan,71,4,3,3,1
422,339,Hiral More,75,3,4,1,2
423,848,Nisha Kohli,45,2,6,4,2
424,710,Sanya Bains,78,7,2,2,1
425,204,Sanaya Narayan,68,5,6,2,2
426,504,Ijaya Patel,55,6,5,3,1
427,432,Harinakshi Dayal,51,8,1,5,2
428,21,Ucchal Mitra,58,3,4,4,2
429,959,Ikshita Lal,69,7,7,4,1
430,578,Isaac Thakur,44,8,3,1,2
431,44,Amol Devan,30,3,2,1,1
432,363,Patrick Nagi,66,1,2,4,1
433,20,Rachana Bhat,37,4,7,1,1
434,400,Damini Mani,29,8,7,5,2
435,745,Anmol Datta,57,3,1,3,1
436,754,Arin Sarma,72,3,3,5,1
437,251,Tarak Contractor,57,2,7,5,1
438,17,Chameli Kadakia,37,2,6,2,2
439,904,Bhavika Ahluwalia,52,3,6,4,1
440,260,Janya Mahal,55,2,2,1,1
441,15,Jackson Dara,37,1,4,4,2
442,974,Mason Ramaswamy,48,4,7,1,2
443,974,Amruta Merchant,22,2,1,2,2
444,416,Edhitha Dua,28,5,1,4,2
445,687,Girish Sood,66,4,6,1,2
446,738,Libni Mand,63,4,3,5,2
447,803,Yutika Kurian,64,3,4,2,2
448,626,Harsh Patel,55,4,4,2,2
449,746,Yashica Ramaswamy,41,7,3,3,1
450,199,Nachiket Nadig,74,7,3,5,1
451,566,Isha Chandran,42,1,3,4,1
452,94,Jeet Bali,39,3,2,2,1
453,475,Chakradhar Buch,19,4,4,3,1
454,848,Yashodhara Morar,57,5,2,1,2
455,929,Krisha Sheth,44,7,5,1,1
456,174,Kala Babu,57,5,6,5,1
457,490,Jairaj Som,48,5,7,2,2
458,275,Panini Dhar,24,4,3,5,1
459,142,Arunima Chad,72,3,5,1,2
460,555,Reyansh Thakur,19,2,5,3,1
461,966,Januja Kari,28,7,7,3,2
462,193,Yashvi Gour,49,5,6,2,1
463,461,Indira Krishnan,42,5,3,4,1
464,693,Zayan Mallick,23,3,1,4,2
465,560,Ekani Saha,31,8,3,1,1
466,802,Damyanti Tandon,67,4,2,4,1
467,198,Rajata Seth,54,3,2,2,2
468,593,Zilmil Subramanian,34,2,4,2,1
469,577,Arjun Golla,30,8,1,4,1
470,383,Falak Raval,40,3,7,1,1
471,670,Hema Narang,60,4,3,2,2
472,968,Rachita Bajaj,49,8,3,4,1
473,12,Owen Datta,75,1,2,3,2
474,53,Mugdha Nair,18,2,1,5,2
475,443,Vrinda Kalita,42,4,1,2,1
476,502,Pranit Hegde,37,5,2,4,1
477,418,Suhani Kade,31,2,2,4,2
478,165,Ethan Tank,40,5,7,5,2
479,336,Siddharth Gokhale,21,6,4,2,1
480,51,William Savant,70,2,2,4,1
481,8,Mohini Agate,68,6,7,5,1
482,203,Eesha Kapadia,68,3,3,5,2
483,497,Ayush Deshpande,62,5,7,3,2
484,894,Ojas Sabharwal,64,7,5,2,1
485,131,Gavin Apte,64,7,1,3,2
486,105,Vamakshi Gole,33,5,6,5,1
487,663,Onkar Barman,63,1,2,4,1
488,124,Manan Sundaram,18,8,2,5,2
489,787,Tara Sha,29,6,1,1,1
490,638,Gautami Gola,22,7,3,4,2
491,884,Arya Borra,61,4,1,2,2
492,427,Anya Modi,28,7,1,2,1
493,9,Kashvi Handa,55,5,5,2,2
494,528,Vanya Murty,64,8,1,3,2
495,695,Arya Chaudhary,38,7,7,3,2
496,480,Neel Din,71,5,5,3,1
497,26,Yoshita Rai,78,4,6,3,1
498,140,Yashodhara Mann,46,1,7,4,2
499,251,Pahal Gera,39,6,7,4,2
500,135,Jairaj Nanda,52,6,7,4,2
501,101,Jyoti Bahri,58,7,1,5,2
502,232,Reyansh Kannan,41,6,5,4,1
503,34,Qasim Pillai,35,1,1,2,1
504,627,Sathvik Dhingra,43,7,6,3,2
505,675,Neelima Pal,62,7,3,3,1
506,583,Warhi Dubey,26,7,6,1,2
507,364,Tanvi Mangat,69,2,4,1,2
508,333,Charvi Buch,47,7,6,1,2
509,165,Gaurang Das,31,3,6,4,1
510,468,Kritika Kaur,39,5,4,2,1
511,992,Meera Khurana,69,4,6,1,1
512,110,Radha Pai,35,4,7,3,2
513,699,Aahana Tank,67,2,7,2,2
514,457,Aryan Raja,56,4,4,5,1
515,407,Lila Bhatnagar,59,7,1,5,2
516,449,Thomas Dada,25,7,5,1,2
517,476,Varenya Panchal,29,8,5,5,2
518,370,Wridesh Sur,69,7,3,5,1
519,457,Nihal Madan,25,7,4,2,1
520,607,Daksha Dani,48,8,2,4,1
521,162,Yug Karpe,50,4,3,5,1
522,698,Alexander Kamdar,68,8,5,4,1
523,578,Chanakya Hegde,56,3,3,3,2
524,520,Kai Borah,79,4,7,4,2
525,134,Leela Konda,74,3,1,3,2
526,275,Vanya Dixit,49,8,6,2,2
527,891,Pavani Raval,75,1,6,1,2
528,843,Bhavna Mittal,25,4,7,2,1
529,597,Kashish Palla,70,8,5,2,2
530,53,Lajita Dugal,30,4,1,4,1
531,737,Radha Kanda,78,1,1,4,2
532,76,Harrison Shankar,56,6,4,1,1
533,657,Brinda Sawhney,42,5,4,5,1
534,825,Jagrati Edwin,23,7,7,5,1
535,58,Brinda Rout,44,4,5,4,1
536,824,Gaurang Sama,33,2,1,5,2
537,959,Mason Sehgal,36,3,3,1,1
538,156,Imaran Master,21,6,4,5,2
539,69,Saanvi Lala,31,6,5,2,2
540,78,Chatresh Goda,66,4,6,3,2
541,520,Ojasvi Bansal,33,1,5,1,2
542,806,Patrick Kapoor,28,6,6,5,2
543,688,Oscar Joshi,80,8,7,3,2
544,302,Gunbir Bhargava,21,6,7,5,2
545,317,Anmol Wable,44,8,3,4,1
546,129,Warinder Prasad,25,2,5,1,1
547,116,Ishita Sharaf,47,3,1,1,1
548,725,Chandran Kanda,20,7,7,2,2
549,870,Gayathri De,44,6,1,3,2
550,382,Ayushman Aurora,67,1,6,2,1
551,566,Riya Walla,62,3,3,2,2
552,952,Benjamin Ramanathan,20,6,6,3,2
553,560,Zaitra Nadig,25,4,1,1,2
554,684,Upadhriti Varty,39,8,3,2,2
555,788,Girish Sule,59,2,5,2,2
556,835,Siddharth Raval,65,1,4,5,2
557,749,Waida Sami,45,5,2,5,2
558,669,Yadavi Saran,65,4,4,2,1
559,819,Mitali Luthra,26,3,6,1,1
560,138,Faras Tripathi,69,4,1,1,2
561,596,Lavanya Chandran,51,7,2,2,2
562,898,Anmol Bora,33,6,5,5,2
563,461,Udyati Bath,40,8,5,1,1
564,708,Sanya Kannan,42,1,3,1,1
565,734,Finn Talwar,52,2,2,3,1
566,832,Krishna Jhaveri,49,2,2,4,1
567,237,Harita Thaman,39,4,1,5,1
568,46,Anvi Hans,55,8,7,5,1
569,50,Anvi Malhotra,58,7,6,3,1
570,447,William Yogi,59,4,4,2,2
571,574,Aayush Sibal,39,1,2,4,1
572,284,Urvashi Dhar,19,5,6,4,1
573,586,Nisha Deshmukh,23,4,7,3,1
574,740,Chakradhar Som,56,2,7,3,2
575,390,Meghana Raval,30,2,2,2,1
576,13,Robert Raj,27,2,6,3,1
577,599,Aadhya Kalla,70,2,2,3,2
578,388,Suhani Parsa,26,6,7,1,1
579,944,Chatresh Shroff,53,8,1,3,1
580,472,Ikbal Ramanathan,35,1,6,5,2
581,44,Dayita Suresh,28,6,1,2,1
582,526,Warda Thakur,80,2,4,3,2
583,168,Shivani Korpal,30,3,2,3,2
584,659,Ekapad Mistry,61,1,3,5,2
585,126,Farhan Parmer,45,3,2,3,2
586,644,Nimrat Soman,74,5,2,3,2
587,116,Timothy Khare,34,4,5,2,1
588,279,Yadavi Chaudhary,23,3,6,1,1
589,924,Raksha Zachariah,25,2,5,5,2
590,285,Jyoti Chada,66,2,7,2,2
591,718,Rayaan Pandey,54,4,2,2,2
592,578,Balvan Bedi,63,4,7,2,2
593,90,Yachana Brahmbhatt,65,7,3,4,2
594,294,Garima Rastogi,32,4,2,5,2
595,102,Hemangini Nayar,43,3,5,3,1
596,352,Vaishnavi Khalsa,37,6,5,3,2
597,270,Urishilla Kaur,21,1,2,5,2
598,296,Ikbal Prabhakar,56,5,3,2,1
599,3,Isaac Suresh,37,3,6,5,1
600,72,Janya Taneja,67,4,3,5,2
601,400,Riya Raghavan,55,6,3,2,1
602,541,Kala Sharaf,30,1,6,1,2
603,644,Anusha Nigam,25,6,2,3,1
