WitnessID,CaseMasterID,WitnessName,Phone
249,928,Pratyush Deshpande,+919632930702
250,888,Kashish Bir,08304231577
251,540,Priya Kant,2019371226
252,985,Girish Bains,02348734180
253,312,Yashvi Mander,1932945920
254,228,Amrita Srivastava,9215306182
255,143,Oscar Lad,+918401978645
256,134,Udant Virk,03282131350
257,335,Warjas Bhalla,4586593274
258,790,Bhavika Kata,9468500063
259,195,Ojasvi Panchal,+914029192742
260,791,Arunima Loke,00015966556
261,721,Advaith Pradhan,+919428956672
262,383,Gaurika Vora,2550499474
263,147,Lakshit Bhat,9845888046
264,941,Neel Deep,2792002319
265,210,Ira Subramanian,07697598490
266,473,Elijah Konda,08607440972
267,393,Jack Kothari,07611861712
268,63,Matthew Goyal,09554862217
269,874,Radhika Chander,03502792301
270,806,Ekantika Shankar,+919290964370
271,74,Nachiket Mangal,00417632495
272,376,Yutika Morar,+918518730710
273,800,Yoshita Narain,2836269129
274,762,Kavya Ratti,+911549358238
275,621,Gopal Edwin,05298541527
276,5,Nisha Gera,+913648534873
277,329,Madhav Madan,1151465643
278,89,Priya Samra,+912945666454
279,893,Nachiket Bansal,7571035988
280,74,Upkaar Nazareth,04504518777
281,532,Faris Nazareth,04270451547
282,907,Hema Kala,03444794928
283,900,Harsh Sachar,5256906514
284,203,Eesha Saraf,8051959991
285,522,Jagat Khare,+917980815155
286,170,Atharv Sane,07066395601
287,475,Daksh Upadhyay,6854190073
288,403,Sathvik Malhotra,01296064939
289,660,Indira Chander,09833951645
290,915,Shravya Raval,06470975555
291,504,Krish Keer,+910644542050
292,105,Yash Vig,+915490623282
293,734,Zarna Goda,+914556051044
294,7,Rajata Murty,8454151471
295,918,Harshil Dhawan,+918577788546
296,594,Dalaja Solanki,+910748278600
297,412,Aadi Kadakia,+915244757663
298,241,Nihal Bandi,3233472535
299,873,Jason Shan,7285340731
300,579,Tanish Shroff,07051186174
301,424,Wakeeta Tailor,1265323835
302,612,Udyati Kari,02115936439
303,589,Rayaan Toor,09238004930
304,304,Tamanna Kothari,+912898895509
305,202,Praneel Kata,+912254445094
306,753,Wridesh Gala,02066311749
307,375,Neel Pathak,0121296084
308,498,Mekhala Gulati,03800265727
309,532,Lakshmi Johal,9408529097
310,260,Jacob Chaudhuri,2341835789
311,364,Sanya Morar,08085834393
312,399,Ryan Nanda,03127851912
313,262,Wyatt Jani,+919301804907
314,960,Vasudha Sane,+912564746167
315,946,Gagan Kunda,07990899277
316,149,Owen Misra,+918830187425
317,766,Anya Sarraf,00107039582
318,529,Wriddhish Varty,6696610315
319,205,Ayush Sinha,8719898968
320,309,Sara Mander,7521123947
321,940,Ganga Bhatti,+919242168289
322,504,Oviya Gill,3492189776
323,978,Ati Mukherjee,+910741780064
324,351,Kamya Borra,+910963124527
325,992,Gautami Nagi,8034383567
326,941,Chatura Yadav,+912947298270
327,46,Keya Pradhan,05606868705
328,462,Victor Anand,+918434989083
329,507,Ubika Khalsa,05722108951
330,531,Irya Sachdev,1851767246
331,324,Isaiah Suri,+913568194001
332,787,Jagvi Pillay,04594303864
333,960,Jatin Nadig,03175901343
334,603,Xalak Ranganathan,6508579310
335,603,Qushi Pai,1047284622
336,48,Dalaja Aurora,01235884646
337,318,Raksha Kashyap,1102825541
338,567,Banjeet Bal,0086458623
339,788,Ganga Barman,+911547231961
340,928,Liam Lad,+913293873955
341,209,Riya Johal,3031121967
342,732,Ekansh Char,06361449515
343,719,Krishna Pillay,5062659958
344,999,Samarth Dhawan,+917650906396
345,66,Victor Banerjee,+918132830206
346,91,Xalak Badal,1973238844
347,614,Prisha Tandon,7659865226
348,236,Rehaan Apte,06275643603
349,896,Upkaar Tella,7168378488
350,90,Wyatt Bhatt,4661048212
351,965,Shivani Shukla,+913179841128
352,21,Chatresh Sharma,+919970459993
353,603,Frederick Bal,06722851191
354,968,Oscar Viswanathan,03741184604
355,761,Abdul Badami,00290953482
356,522,Jason Gala,02006693720
357,385,Damini Halder,1406116565
358,758,Chandresh Narayanan,1218408573
359,437,Quincy Purohit,2470943342
360,402,Ikbal Chandran,02277566443
361,924,Irya Varty,08436986883
362,913,Vanya Swaminathan,05701667655
363,64,Urvi Shanker,07757365660
364,488,Anjali Bail,01084845041
365,339,Sathvik Purohit,0353437742
366,797,Nicholas Ramakrishnan,7532248663
367,911,Isha Chokshi,1412244499
368,366,Yashodhara Gopal,+912489517297
369,544,Gabriel Sawhney,7135347067
370,788,Avi Basak,2124959104
371,499,Vrishti Kala,2628835730
372,971,Darsh Parsa,1735673546
373,28,Chaitanya Batra,+917213853869
374,216,Udant Verma,5535148555
375,373,Darika Lata,9627480594
376,770,Jagat Dass,6339520547
377,574,Varsha Khalsa,7616378749
378,134,Widisha Morar,4927021021
379,95,Pranit Bal,00437266883
380,534,Ira Tella,09772594720
381,367,Sudiksha Bhatia,03353740389
382,707,Laksh Sandhu,03426875854
383,273,Mohammed Dua,5432229439
384,430,Fitan Shenoy,09412636840
385,957,Ryan Dani,+911476134770
386,70,Baljiwan Tara,7351517403
387,577,Kritika Bansal,04389968610
388,91,Dalaja Boase,8931322347
389,469,Michael Vohra,+913975288327
390,197,Mason Merchant,2580795570
391,727,Ubika Pal,+913134429015
392,371,Rushil Bhardwaj,+913869819348
393,297,Zinal Hari,+912899904831
394,640,Chaitaly Dar,+919234126640
395,900,Widisha Bali,08507429560
396,179,Chaitanya Purohit,+911602442494
397,475,Dakshesh Suresh,03030239179
398,196,Radha Khanna,06072819731
399,183,Sai Nadig,07737302347
400,753,Qushi Modi,04970392489
401,484,Jack Subramaniam,+915658261706
402,898,Veda Tank,04852554332
403,34,Vedant Mitra,+913333153043
404,839,Jonathan Devi,9655117243
405,333,Christopher Shanker,7566140952
406,394,Kevin Lata,04934705663
407,961,Kiaan Bala,7802278630
408,980,Daksha Kamdar,+911503702595
409,140,Girindra Bhargava,+914555810209
410,46,Ronith Chokshi,02414107751
411,775,William Kothari,+918469615387
412,848,Dakshesh Banerjee,+915719862605
413,287,Frado Lad,03748083285
414,166,Widisha Krishnan,01109332064
415,674,Zarna Krishna,8358992297
416,412,Dev Kala,09412961974
417,597,Qadim Kanda,+915580715368
418,280,Sanya Lall,9187902716
419,74,Gavin Dhingra,2574678388
420,625,Banjeet Thakur,00511208908
421,683,Aashi Nanda,7544864839
422,660,Liam Pall,08003173849
423,166,Qadim Subramaniam,+910006486341
424,115,Matthew Narayanan,05892192924
425,902,Charvi Kade,05279259397
426,266,Wishi Kakar,+918568312518
427,9,Rajeshri Kota,7879204254
428,620,Eiravati Talwar,1014180978
429,580,Leena Mistry,+912597785148
430,450,Zayyan Bhalla,08473030567
431,534,Netra Doctor,07455812863
432,231,Chandran Patla,+915245630163
433,913,Priya Badal,6211397616
434,453,Siddharth Kashyap,+918291678381
435,715,Yachana Natt,8158501689
436,708,Jeet Barad,+918106433637
437,260,Yash Chopra,08249338384
438,825,Anjali Rau,+910393925928
439,639,Gunbir Gola,5209040211
440,897,Krishna Mall,07309546659
441,363,Teerth Prabhakar,1356659275
442,334,Mohini Sen,4809591179
443,237,Vidhi Master,9927342237
444,832,Viraj Bandi,2699743403
445,665,Warjas Manda,+910290319506
446,799,Siddharth Sangha,+911670340349
447,939,Nitesh Mangal,+912237106487
448,491,Kevin Sethi,+919014249830
449,245,Nikita Lanka,06180333675
450,634,Bhavani Palan,+913914363128
451,358,Advaith Tandon,+918927423024
452,393,Kamala Korpal,+916143746448
453,294,Sudiksha Kothari,9048271605
454,547,Mahika Taneja,01155912929
455,995,Wakeeta Yohannan,1347259157
456,634,Ronith Ganesan,9987400913
457,629,Ira Shukla,08042975410
458,926,Falak Goda,5002218405
459,436,Omaja Gaba,3347719254
460,930,Azad Dutta,+918347018162
461,76,Garima Chahal,+911340330006
462,716,Ryan Raju,+917943723134
463,197,Wriddhish Dave,00089431330
464,663,Ucchal Doshi,7808527693
465,778,Ira Dora,+912901093306
466,798,Jalsa Prakash,00616689214
467,548,Faraj Sha,07750910684
468,430,Sara Konda,+917542871771
469,431,Udyati Vig,0913578453
470,548,Triveni Thaman,+916360442212
471,593,Chatresh Talwar,01018196400
472,484,Vanya Konda,6725655281
473,830,Krishna Yohannan,+915976694827
474,897,Ekani Bath,8613899564
475,624,Saanvi Kapur,3314751345
476,531,Ijaya Banik,+917141695244
477,613,Jai Gupta,+914807326245
478,455,Amaira Deshpande,0099705770
479,195,Ati Bhardwaj,02986517641
480,985,Upasna Nigam,+911625739900
481,591,Vrinda Bal,8416193325
482,151,Vidhi Panchal,+918732181572
483,517,Advaith Peri,+914422154737
484,123,Kamala Konda,+910736831520
485,606,Kamala Sastry,02903218452
486,885,Oni Peri,+913812368309
487,41,Charles Ratti,+917441688758
488,177,Idika Chakraborty,3211722027
489,202,Jagrati Chad,01460541308
490,441,Leela Choudhary,+915740895096
491,735,Brinda Nori,6073280695
492,602,Dakshesh Nori,+916450085439
493,114,Mekhala Thaker,04703493516
494,760,Libni Chad,07161289018
495,386,Netra Bali,8129896434
496,462,Qasim Koshy,08390750262
497,144,Aarav Venkatesh,09383886356
498,899,Brinda Gade,5199699953
499,812,Garima Iyer,0165683386
500,724,Eesha Reddy,1800254865
501,409,Raksha Thaker,9834613846
502,873,Warhi Kapadia,+916839596834
503,451,Warjas Varughese,2032133147
504,254,Ikshita Jayaraman,05413886212
505,547,Radha Mann,4934230486
506,218,Jagvi Bakshi,05637269343
507,292,Caleb Mann,1436726025
508,541,Jagrati Chahal,+914044149462
509,507,Kai Bose,4964334055
510,132,Isaac Nagarajan,05402848479
511,286,Bishakha Nagarajan,+912711457051
512,215,Udant Guha,9277542440
513,961,Hritik Sangha,9067345560
514,642,Suhani Trivedi,06786705013
515,47,Adya Modi,4142089850
516,702,Raksha Bala,1106975152
517,621,Ishaan Shanker,+911538222982
518,378,Omaja Seshadri,+918661247672
519,91,Tanmayi Chakraborty,00144531941
520,360,Eta Chanda,+913982031169
521,791,Ganga Bhagat,03131380604
522,500,Christopher Ramesh,+913263711212
523,864,Gayathri Banerjee,4982993131
524,785,Hritik Aurora,+916042077881
525,976,Upasna Venkatesh,+910301615570
526,142,Fitan Yohannan,+911335873314
527,579,Varenya Naik,03201138852
528,331,Aachal Mitter,06620069389
529,546,Manbir Lad,8162519731
530,617,Diya Balan,6017057091
531,19,Chakradhar Kashyap,8661312681
532,936,Aahana Mall,06356792968
533,412,Samaksh Raju,9768632762
534,486,Sneha Dhar,06310519689
535,361,Ekaja Parikh,+919117791150
536,469,Hemang Bera,+914413333437
537,472,Watika Naidu,8091529819
538,77,Radha Borde,0814161438
539,646,Ronith Pal,2326793888
540,157,Indali Biswas,+916008004724
541,971,Chandresh Borde,09356723204
542,59,Urishilla Panchal,0891526718
543,595,Zehaan Raghavan,00536454564
544,95,Amrita Dhar,00862849189
545,377,Bhanumati Ramanathan,04905999656
546,375,Rachit Goyal,02873813580
547,529,Wahab Verma,1461160274
548,308,Onveer Gera,+917906536004
549,654,Henry Mitra,2719977440
550,130,Jyoti Dube,01646369613
551,606,Indali Mahal,04597140873
552,178,Arya Chandra,+912656598255
553,429,Saumya Venkataraman,06627280963
554,305,Bhavani Nadkarni,+910856589008
555,445,Shivani Salvi,02089698164
556,972,Gautami Nadkarni,05782021899
557,911,Yutika Ghose,3067059547
558,1000,Gunbir Barman,+910384265518
559,581,Praneel Salvi,2660979226
560,489,Sai Raval,06202263269
561,145,Diya Seth,06407223075
562,930,Finn Menon,01023356455
563,652,Yuvraj Oza,01127185914
564,289,Balvan Bakshi,05814698967
565,97,Balveer Bhandari,00968861157
566,52,Yochana Chandra,3696146721
567,536,Imaran Lad,05828217402
568,469,Pavani Babu,3126485618
569,368,Krisha Date,+919438255709
570,100,Maanas Gade,08050209259
571,176,Udarsh Upadhyay,+910790462563
572,389,Chavvi Merchant,9265158158
573,281,Zayan Dani,7655436927
574,888,Yashoda Gade,+919852652545
575,761,Liam Khare,07423409560
576,661,Arin Natt,6331318122
577,320,Umang Vohra,02686236144
578,230,Hemang Chakraborty,7817067578
579,70,Kashvi Pandya,03292549085
580,687,Ranveer Agarwal,+918138777200
581,833,Upkaar Bhavsar,2891201242
582,959,Naveen Dalal,+915035800964
583,381,Panini Ghose,03392884628
584,622,Tanvi Behl,03109071969
585,106,Kiaan Bera,03321650844
586,620,Abeer Murty,02184193667
587,36,Gayathri Sarraf,8814017888
588,947,Vihaan Sarna,08049115501
589,162,Ayaan Nagi,0043060145
590,24,William Pandey,0347754334
591,573,Advaith Rattan,04620506149
592,343,Zehaan Wali,+918478202247
593,514,Vasudha Rajagopal,+918906225125
594,27,Yamini Chaudhry,09362282496
595,248,Anthony Sama,+914236403573
596,155,Warinder Sangha,09139429122
597,891,Girik Kanda,+918893828664
598,432,Sachi Ratti,9114257012
599,759,Nisha Chad,3111444785
600,333,David Shukla,3723435063
601,503,Qushi Bajaj,+919776118898
602,274,Kevin Mallick,+918621388290
603,127,Onveer Natt,+919612204753
604,771,Rachit Varghese,06240950878
605,387,Manthan Golla,6156412188
606,134,Dayamai Dhar,9635127922
607,374,Tara Bains,02754191595
608,602,Devansh Chana,+911183965805
609,339,Tanay Sha,+917078439439
610,560,Chandran Warrior,5529604800
611,207,Zarna Sabharwal,+914714264110
612,621,Adweta Kurian,6460342092
613,132,Qushi Pradhan,09453579348
614,899,Vrinda Rai,+914453250588
615,800,Niharika Date,+915921433953
616,684,Ekavir Jaggi,5687885191
617,384,Triveni Sagar,0987235571
618,977,Bachittar Kashyap,06470447115
619,270,Manbir Pai,08091867543
620,60,Upasna Bumb,+915792172867
621,747,Charita Varma,4222783110
622,854,Yagnesh Mahal,02855158002
623,486,Vasudha Saran,+916378612099
624,65,Sudiksha Patel,8657079846
625,837,Abeer Pandya,08219141879
626,18,Kiaan Roy,+919212001480
627,356,Yashodhara Subramanian,01070130973
628,654,Tejas Toor,4575017666
629,709,Pallavi Saran,+912508575933
630,942,Sachi Puri,+912926603535
631,581,Nisha Din,2458446326
632,806,Triya Sachdeva,01563650921
633,979,Dhruv Badal,0745259610
634,959,Damini Soni,05577042708
635,372,Timothy Sinha,+916236814706
636,529,Odika Ganguly,06692234895
637,862,Yamini Wagle,3086402709
638,214,Naksh Mistry,03809513687
639,340,Pallavi Kumar,09513889053
640,569,Henry Luthra,+918070742909
641,296,Balvan Chandra,05839509173
642,918,Waida Sani,5306690130
643,175,Pushti Badal,00904041270
644,602,Ekavir Khosla,+912790537661
645,365,Jeremiah Bora,3640933268
646,660,Liam Jani,09738987978
647,558,Chaitanya Sheth,+916588092805
648,73,Manbir Lalla,7109462595
649,783,Tara Sarna,+912978250891
650,162,Oliver Sani,+910804609842
651,670,Kashvi Nazareth,01383361271
652,394,Jagat Babu,07239190283
653,319,Samarth Randhawa,7280097111
654,419,Dalbir Mitter,2818797017
655,247,Avi Singhal,4244299729
656,294,Praneel Mangal,09675072119
657,446,Jeremiah Lalla,08517953061
658,716,Eshana Chacko,+913904756491
659,297,Brijesh Bala,7794038585
660,416,Ganga Kant,6831257766
661,183,Guneet Rau,00164145576
662,845,Ansh Khosla,4872986445
663,494,Sneha Bala,2925552895
664,999,Chandani Dhaliwal,0350448264
665,871,Viraj Goyal,+917949733627
666,929,Nathan Arya,3335174742
667,929,Odika Barad,+915757894778
668,25,Kabir Saha,8025880771
669,784,Noah Varkey,5687093742
670,692,Girik Bhandari,00695349052
671,918,Ishita Raman,3237755795
672,646,Idika Walia,02623144779
673,616,Januja Mallick,6526224452
674,946,Aarna Chauhan,6817666550
675,425,Owen Balakrishnan,+910239345828
676,646,Bhavini Gala,1992482650
677,982,Aashi Raju,+915199195052
678,721,Laksh Dutta,+912496950370
679,943,Raksha Banik,8943092099
680,68,Bhavika Murthy,+918812415840
681,218,Lakshit Agate,9182430908
682,512,Simon Dalal,+916709542898
683,209,William Devi,+916692096180
684,272,Ethan Dhar,3951200717
685,469,Varsha Ravi,9867484025
686,711,Mason Sachdev,08908759777
687,536,Anjali Tailor,05119059603
688,309,Urvi Om,+919154056340
689,224,Nihal Sethi,+919790540331
690,573,Peter Kothari,8243346468
691,251,Chaman Bhatnagar,6777922408
692,218,Advik Bhasin,+910837824936
693,577,Chavvi Madan,2572029755
694,609,Urmi Chaudhuri,09383251243
695,362,Devika Pillay,04841670513
696,794,Harshil Bumb,03440524779
697,398,Watika Mistry,5499329920
698,644,Bishakha Kakar,+915633120615
699,235,Pranit Hari,4754535958
700,569,Yashica Badami,06450098546
701,398,Damyanti Mital,04086058693
702,691,Dipta Varkey,+918643123327
703,497,Samar Bobal,+910274372122
704,621,Saanvi Bhalla,+911734442850
705,208,Falak Sharma,9046693080
706,140,Rehaan Sandal,1025379358
707,142,Devika Singh,9564394423
708,255,Maanas Bahl,1778215559
709,660,Sachi Walia,05825056482
710,548,Nidra Gour,+919097282454
711,799,Ira Vala,+911967579081
712,658,Balveer Verma,09311446884
713,248,Kritika Sarna,08117270656
714,281,Ekalinga Chakraborty,3692387955
715,492,Jagat Char,+911145688895
716,116,Shravya Kata,02748805205
717,115,Neelima Sama,04207041048
718,743,Amol Dada,9337146038
719,345,Wahab Keer,+918727270053
720,300,Edhitha Sanghvi,+915402376556
721,693,Krish Mann,+911033054318
722,560,Arya Yadav,03275957779
723,619,Harini Arora,06879059674
724,698,Barkha Baria,+915935367116
725,907,Hemani Bose,4807144565
726,511,Sarthak Issac,08751659472
727,683,Ubika Lalla,9490002477
728,194,Gautam Chandran,+914203158223
729,733,Upadhriti Lata,09246277080
730,220,Chaitaly Mani,09942666048
731,755,Kala Mishra,01732969984
732,489,Yoshita Divan,00650275064
733,440,Anika Mitter,7178110383
734,464,Ijaya Tiwari,09112878182
735,957,Kamya Srinivas,2343606225
736,667,Eta Raman,1942557125
737,317,Jai De,05816310255
738,541,Andrew Bhagat,+917802823240
739,323,Dhruv Parmar,8060477527
740,279,Vasana Sharma,8820472391
741,913,Vasatika Chada,+915471521893
742,851,Viraj Guha,+919373118647
743,894,Zashil Ramaswamy,09149641576
744,291,Nicholas D’Alia,3614610267
745,780,Pranit Srinivas,+917058571635
746,495,Tanveer Mannan,+911097108945
747,844,Kamya Sura,+915304173621
748,130,Ijaya Kota,4756659386
749,281,Ekta Samra,2249080221
750,425,Chakradev Sachdev,+912418913525
751,75,Abhiram Dani,+912317972901
752,914,Madhav Soman,+911540770549
753,96,Vidhi Wali,08619716047
754,194,Simon Baria,02310741402
755,856,Shravya Barad,+913106574384
756,786,Patrick Vasa,+919577829493
757,59,Gautami Pal,8709775151
758,981,Maanav Date,+914789094908
759,560,Harrison Oza,02911357419
760,851,Patrick Dani,9572091374
761,587,Bhanumati D’Alia,00650026700
